Status,Name,Publisher,UEF,ROMs,Options,URL,Files
OK,Arcadians,Acornsoft,Arcadians-v1.2_B.uef,Arcadians.rom,-b -B E00 -rn ARCADIANS -c : -f 1 -r,https://www.stairwaytohell.com/bbc/archive/tapeimages/Acornsoft/Arcadians-v1.2_B.zip,Arcadians-v1.2_B.uef
OK,Boxer,Acornsoft,Boxer-v1_B.uef,Boxer.rom,-b -B 2000 -rn BOXER -c :.40d4 -f 0:1 -w 120,https://www.stairwaytohell.com/bbc/archive/tapeimages/Acornsoft/Boxer-v1_B.zip,Boxer-v1_B.uef
OK,Breakout,Acornsoft,ArcadeAction-v2.5_B.uef,AABreakout.rom,-c : -f 2 -m,https://www.stairwaytohell.com/bbc/archive/tapeimages/Acornsoft/ArcadeAction-v2.5_B.zip,ArcadeAction-v2.5_B.uef
OK,Chuckie Egg,A&F,ChuckieEgg_B.uef,ChuckieEgg.rom,-b -B 1900 -rn CHUCKIE -c :,https://www.stairwaytohell.com/bbc/archive/tapeimages/AnF/ChuckieEgg_B.zip,ChuckieEgg_B.uef
OK,Dodgems,Acornsoft,ArcadeAction-v2.5_B.uef,AADodgems.rom,-c : -f 3 -m,https://www.stairwaytohell.com/bbc/archive/tapeimages/Acornsoft/ArcadeAction-v2.5_B.zip,ArcadeAction-v2.5_B.uef
OK,Firebug,Acornsoft,Firebug-v1_B.uef,Firebug.rom,-b -B 1900 -rn FIREBUG -c :.3e00 -m,https://www.stairwaytohell.com/bbc/archive/tapeimages/Acornsoft/Firebug-v1_B.zip,Firebug-v1_B.uef
OK,Hopper,Acornsoft,Hopper-v2.2_B.uef,Hopper.rom,-b -B E00 -rn HOPPER -c : -f 0:1,https://www.stairwaytohell.com/bbc/archive/tapeimages/Acornsoft/Hopper-v2.2_B.zip,Hopper-v2.2_B.uef
OK,Invaders,Acornsoft,ArcadeAction-v2.5_B.uef,AAInvaders.rom,-c : -f 1 -m,https://www.stairwaytohell.com/bbc/archive/tapeimages/Acornsoft/ArcadeAction-v2.5_B.zip,ArcadeAction-v2.5_B.uef
OK,JCB Digger,Acornsoft,JCBDigger-v1.1_B.uef,JCBDigger.rom,-b -B E00 -rn JCB -c :.63cc -f 0:1,https://www.stairwaytohell.com/bbc/archive/tapeimages/Acornsoft/JCBDigger-v1.1_B.zip,JCBDigger-v1.1_B.uef
OK,Killer Gorilla,Micropower,KillerGorilla_B.uef,KillerGorilla.rom,-b -B E00 -rn GORILLA -c : -m,https://www.stairwaytohell.com/bbc/archive/tapeimages/Micropower/KillerGorilla_B.zip,KillerGorilla_B.uef
OK (no * command),Labyrinth,Acornsoft,Labyrinth-v1.0_B.uef,Labyrinth.rom,-c .5d00 -f 1 -m -r -pf patch_files/labyrinth.txt,https://www.stairwaytohell.com/bbc/archive/tapeimages/Acornsoft/Labyrinth-v1.0_B.zip,Labyrinth-v1.0_B.uef
OK,Magic Mushrooms,Acornsoft,MagicMushrooms-v1_B.uef,Magic.rom,-b -B 1900 -rn MAGIC -c :.4700 -f 0:1,https://www.stairwaytohell.com/bbc/archive/tapeimages/Acornsoft/MagicMushrooms-v1_B.zip,MagicMushrooms-v1_B.uef
OK,Maze,Acornsoft,Maze-v1_B.uef,Maze.rom,-b -B E00 -rn MAZE -c :.3a9f -m,https://www.stairwaytohell.com/bbc/archive/tapeimages/Acornsoft/Maze-v1_B.zip,Maze-v1_B.uef
OK,Meteors,Acornsoft,Meteors-v1_B.uef,Meteors.rom,-b -B E00 -rn METEORS -c :,https://www.stairwaytohell.com/bbc/archive/tapeimages/Acornsoft/Meteors-v1_B.zip,Meteors-v1_B.uef
OK,Monsters,Acornsoft,Monsters-v3.2_B.uef,Monsters.rom,-b -B 4000 -rn MONSTERS -c :,https://www.stairwaytohell.com/bbc/archive/tapeimages/Acornsoft/Monsters-v3.2_B.zip,Monsters-v3.2_B.uef
OK,Mr Ee,Micro Power,MrEe_B.uef,MrEe.rom,-b -B E00 -rn MREE -c :,https://www.stairwaytohell.com/bbc/archive/tapeimages/Micropower/MrEe_B.zip,MrEe_B.uef
OK,Pengi,Visions,Pengi_B.uef,Pengi.rom,-b -B 1900 -rn PENGI -c :4000: -w 120,https://www.stairwaytohell.com/bbc/archive/tapeimages/Visions/Pengi_B.zip,Pengi_B.uef
OK,Planetoid,Acornsoft,Planetoid-v2.1_B.uef,Planetoid.rom,-b -B E00 -rn PLANETOID -c :3c00: -m,https://www.stairwaytohell.com/bbc/archive/tapeimages/Acornsoft/Planetoid-v2.1_B.zip,Planetoid-v2.1_B.uef
OK,Proteans,DK Tronics,Proteanse_B.uef,Proteans.rom,-b -B E00 -rn PROTEANSE -c : -w 120,https://www.stairwaytohell.com/bbc/archive/tapeimages/DKTronics/Proteanse_B.zip,Proteanse_B.uef
OK,Rocket Raid,Acornsoft,RocketRaid-v2.1_B.uef,RocketRaid.rom,-b -B 1900 -rn ROCKET -c :4000:e00: -m,https://www.stairwaytohell.com/bbc/archive/tapeimages/Acornsoft/RocketRaid-v2.1_B.zip,RocketRaid-v2.1_B.uef
OK,Rubble Trouble,Micropower,RubbleTrouble_B.uef,RubbleTrouble.rom,-b -B 1900 -rn RUBBLE -c ::2f00: -w 120,https://www.stairwaytohell.com/bbc/archive/tapeimages/Micropower/RubbleTrouble_B.zip,RubbleTrouble_B.uef
OK,Snake,Acornsoft,ArcadeAction-v2.5_B.uef,AASnake.rom,-c : -f 4 -m,https://www.stairwaytohell.com/bbc/archive/tapeimages/Acornsoft/ArcadeAction-v2.5_B.zip,ArcadeAction-v2.5_B.uef
OK,Snapper,Acornsoft,Snapper-v2.2_B.uef,Snapper.rom,-b -B E00 -rn SNAPPER -f 0:1:2 -c :4000:,https://www.stairwaytohell.com/bbc/archive/tapeimages/Acornsoft/Snapper-v2.2_B.zip,Snapper-v2.2_B.uef
OK,Starship Command,Acornsoft,StarshipCommand-v1.1_B.uef,Starship.rom,-b -B E00 -rn STARSHIP -c :,https://www.stairwaytohell.com/bbc/archive/tapeimages/Acornsoft/StarshipCommand-v1.1_B.zip,StarshipCommand-v1.1_B.uef
OK,Super Invaders,Acornsoft,SuperInvaders-v1_B.uef,SuperInvaders.rom,-b -B E00 -rn SUPER -c : -m,https://www.stairwaytohell.com/bbc/archive/tapeimages/Acornsoft/SuperInvaders-v1_B.zip,SuperInvaders-v1_B.uef
OK,Tetrapod,Acornsoft,Tetrapod-v1_B.uef,Tetrapod.rom,-b -B E00 -rn TETRAPOD -c :.2333 -m,https://www.stairwaytohell.com/bbc/archive/tapeimages/Acornsoft/Tetrapod-v1_B.zip,Tetrapod-v1_B.uef
OK,Volcano,Acornsoft,Volcano-v1_B.uef,Volcano.rom,-b -B E00 -rn VOLCANO -c :.44a0 -m,https://www.stairwaytohell.com/bbc/archive/tapeimages/Acornsoft/Volcano-v1_B.zip,Volcano-v1_B.uef
